date,min,max,median,q1,q3,stdev,count
2025-07-25T00:00:00.000Z,0.35,52.54,8.52,1.23,13.38,15.035,24
2025-07-26T00:00:00.000Z,0.35,47.29,11.63,2.08,21.02,12.25,24
2025-07-27T00:00:00.000Z,0.37,50.3,11.43,3.46,28.38,15.26,24
2025-07-28T00:00:00.000Z,0.35,34.99,9.36,0.61,13.95,9.115,24
2025-07-29T00:00:00.000Z,0.35,39.93,7.8,0.56,14.26,11.349,24
2025-07-30T00:00:00.000Z,0.35,29.26,10.03,3.7,18.66,8.622,24
2025-07-31T00:00:00.000Z,0.35,73.92,4.36,0.5,10.44,17.578,24
2025-08-01T00:00:00.000Z,0.35,632.32,20,2.02,32.6,134.468,20
2025-08-02T00:00:00.000Z,0.35,39.26,9.27,0.48,16.94,10.285,24
2025-08-03T00:00:00.000Z,0.35,36.84,5.56,0.37,14.66,10.733,22
2025-08-04T00:00:00.000Z,0.35,25.15,6.59,0.53,13.32,8.21,24
2025-08-05T00:00:00.000Z,0.35,23.81,4.72,1.91,13.46,7.108,24
2025-08-06T00:00:00.000Z,0.37,25.22,9.97,0.88,13.28,7.079,24
2025-08-07T00:00:00.000Z,0.35,20.76,8.5,0.59,14.32,6.926,24
2025-08-08T00:00:00.000Z,0.35,83.2,12.59,2.04,23.57,21.383,24
2025-08-09T00:00:00.000Z,0.35,68.14,5.48,0.97,15.15,17.659,24
2025-08-10T00:00:00.000Z,0.35,39.4,6.82,2.65,21.9,13.546,24
2025-08-11T00:00:00.000Z,0.35,47.92,6.5,1.29,20.2,14.189,24
2025-08-12T00:00:00.000Z,0.35,41.87,6.63,2.48,14.19,10.86,24
2025-08-13T00:00:00.000Z,0.35,43.01,9.26,1.07,15.82,11.448,24
2025-08-14T00:00:00.000Z,0.42,40,11.94,3.67,23.12,11.967,24
2025-08-15T00:00:00.000Z,0.35,45.34,4.83,0.77,14.42,10.876,24
2025-08-16T00:00:00.000Z,0.35,36.61,7.88,0.41,27.97,12.755,24
2025-08-17T00:00:00.000Z,0.35,27.23,9.03,0.54,13.67,7.288,24
2025-08-18T00:00:00.000Z,0.35,40.11,3.72,0.35,12.71,10.15,24
2025-08-19T00:00:00.000Z,0.35,28.95,4.47,0.7,11.9,9.046,24
2025-08-20T00:00:00.000Z,0.35,72.98,4.58,0.73,11.74,17.11,24
2025-08-21T00:00:00.000Z,0.35,42.32,5.95,2.25,15.92,12.255,24
2025-08-22T00:00:00.000Z,0.35,26.58,5.78,0.61,11.25,7.674,24
2025-08-23T00:00:00.000Z,0.35,32.45,6.39,2.89,11.05,9.35,24
2025-08-24T00:00:00.000Z,0.35,21.37,3.4,0.6,8.56,6.332,24
2025-08-25T00:00:00.000Z,0.35,18.71,9.34,0.73,12.58,5.914,24
2025-08-26T00:00:00.000Z,0.35,17.89,7.52,4.01,9.75,4.836,24
2025-08-27T00:00:00.000Z,0.35,20.44,8.02,1.39,10,5.76,24
2025-08-28T00:00:00.000Z,0.35,23.78,9.53,1.75,14.43,7.545,24
2025-08-29T00:00:00.000Z,0.35,77.87,12.36,1.73,16.5,17.222,24
2025-08-30T00:00:00.000Z,0.35,44.91,4.79,0.43,16.91,12.264,24
2025-08-31T00:00:00.000Z,0.35,11,1.8,0.59,5,2.726,24
2025-09-01T00:00:00.000Z,0.35,15.04,5.14,0.54,8.31,4.398,24
2025-09-02T00:00:00.000Z,0.35,36.86,2.58,0.93,9.94,10.83,24
2025-09-03T00:00:00.000Z,0.35,12.9,0.97,0.36,4.04,3.236,23
2025-09-04T00:00:00.000Z,0.35,17.64,5.28,0.62,10.63,5.767,24
2025-09-05T00:00:00.000Z,0.35,55.16,8.48,2.31,16.44,16.14,24
2025-09-06T00:00:00.000Z,0.35,50.39,7.86,1.15,24.91,15.45,24
2025-09-07T00:00:00.000Z,0.35,36.38,14.07,10.13,19.57,8.837,24
2025-09-08T00:00:00.000Z,0.35,28.3,5.89,3.11,11.87,8.176,24
2025-09-09T00:00:00.000Z,0.39,24.98,5.09,1.39,13.37,7.289,24
2025-09-10T00:00:00.000Z,0.35,40.54,3.48,0.7,12.22,10.591,24
2025-09-11T00:00:00.000Z,0.35,29.11,2.91,0.35,15.57,9.317,24
2025-09-12T00:00:00.000Z,0.35,43.6,8.71,1.68,16.34,11.008,24
2025-09-13T00:00:00.000Z,0.37,66.83,15.45,6.17,22.51,17.231,24
2025-09-14T00:00:00.000Z,0.39,36.84,8.25,0.74,14.88,11.086,24
2025-09-15T00:00:00.000Z,0.35,17.66,6.62,2.81,9.42,4.714,24
2025-09-16T00:00:00.000Z,0.35,22.23,4.44,1.15,10.03,5.491,23
2025-09-17T00:00:00.000Z,0.35,23.48,3.92,0.5,11.82,6.326,24
2025-09-18T00:00:00.000Z,0.48,20.19,4.78,2.06,13.61,6.85,24
2025-09-19T00:00:00.000Z,0.39,19.95,5.45,1.31,10.4,6.234,24
2025-09-20T00:00:00.000Z,0.35,12.31,2.54,0.48,5.74,3.516,24
2025-09-21T00:00:00.000Z,0.35,68.34,6.42,1.94,18.54,17.209,24
2025-09-22T00:00:00.000Z,0.35,30.6,4.3,0.51,11.32,7.185,24
2025-09-23T00:00:00.000Z,0.35,39.15,2.2,0.72,6.7,10.245,24
2025-09-24T00:00:00.000Z,0.35,10.88,4.69,0.83,5.99,3.083,24
2025-09-25T00:00:00.000Z,0.35,63.15,5.91,1.44,11.98,17.974,24
2025-09-26T00:00:00.000Z,0.35,28.9,12.16,0.72,18.76,8.989,24
2025-09-27T00:00:00.000Z,0.35,37.01,6.86,0.35,14.01,9.535,23
2025-09-28T00:00:00.000Z,0.35,49.85,3.28,1.06,8.1,13.159,24
2025-09-29T00:00:00.000Z,0.84,25.96,12.84,7.09,18.28,7.516,24
2025-09-30T00:00:00.000Z,0.35,52.63,13.55,4.67,25.34,15.252,24
2025-10-01T00:00:00.000Z,1.15,28.26,8.77,6.64,21.57,8.412,24
2025-10-02T00:00:00.000Z,0.36,30.57,13.92,6.68,22.34,9.177,24
2025-10-03T00:00:00.000Z,1.38,51.78,8.78,3.99,17.16,12.598,24
2025-10-04T00:00:00.000Z,0.35,19.75,1.95,0.5,4.26,4.085,24
2025-10-05T00:00:00.000Z,0.36,8.86,2.52,1.25,4.48,2.261,24
2025-10-06T00:00:00.000Z,0.35,75.44,4.84,0.85,11.67,17.777,24
2025-10-07T00:00:00.000Z,0.35,58.48,4.74,0.5,16.14,16.397,24
2025-10-08T00:00:00.000Z,0.35,56.55,4.9,1.26,13.13,13.041,24
2025-10-09T00:00:00.000Z,0.48,49.72,3.39,2.11,10.79,13.491,24
2025-10-10T00:00:00.000Z,1.06,70.2,5.82,3.92,11.44,14.809,24
2025-10-11T00:00:00.000Z,0.35,39.04,3.72,0.96,12.28,12.576,24
2025-10-12T00:00:00.000Z,0.75,35.94,13.8,3.48,25.3,11.247,24
2025-10-13T00:00:00.000Z,0.35,50.9,2.31,0.64,7.03,11.6,24
2025-10-14T00:00:00.000Z,0.35,7.73,1.51,0.59,3.48,2.226,24
2025-10-15T00:00:00.000Z,0.35,37.19,2.08,0.71,10.1,9.691,24
2025-10-16T00:00:00.000Z,0.37,76.09,7.64,4.63,22,17.688,24
2025-10-17T00:00:00.000Z,3.69,40.32,10.01,6.39,18.8,10.727,24
2025-10-18T00:00:00.000Z,0.4,56.17,6.87,2.52,12.19,12.547,24
2025-10-19T00:00:00.000Z,1.3,31.77,11.77,6.6,15.62,7.766,24
2025-10-20T00:00:00.000Z,0.35,43.82,6.15,3.72,11.33,9.82,24
2025-10-21T00:00:00.000Z,2.87,50.66,12.09,7.19,19.03,11.544,24
2025-10-22T00:00:00.000Z,0.35,57.06,7.27,5.11,12.22,13.84,24
2025-10-23T00:00:00.000Z,0.35,53.23,3.33,1.49,7.57,13.828,24
2025-10-24T00:00:00.000Z,0.56,53.75,11.8,5.46,19.53,13.876,24
2025-10-25T00:00:00.000Z,10.88,24.37,14.7,12.45,21.78,4.75,7
2025-10-26T00:00:00.000Z,0.53,52.42,9.92,1.73,18.45,13.473,21
2025-10-27T00:00:00.000Z,0.38,66.87,7.71,3.34,15.67,14.997,24
2025-10-28T00:00:00.000Z,0.37,363.47,7.71,4.32,16.16,71.227,24
2025-10-29T00:00:00.000Z,0.35,21.9,8.84,0.56,15.5,7.262,24
2025-10-30T00:00:00.000Z,0.35,84.55,1.32,0.47,7.64,21.859,24
2025-10-31T00:00:00.000Z,0.35,34.11,4.01,0.82,11.27,8.672,24
2025-11-01T00:00:00.000Z,0.35,48.9,2.92,0.47,9,12.251,24
2025-11-02T00:00:00.000Z,0.35,21.88,6.7,2.29,13.04,6.574,24
